Description	Accession
DNA-BINDING PROTEIN A	M24069_at
NPPB Natriuretic peptide precursor B	M25296_at
GAP43 Growth associated protein 43	M25667_at
CD19 CD19 antigen	M28170_at
KERATIN, TYPE I CYTOSKELETAL 17	M28439_at
VIP Vasoactive intestinal peptide	M36634_at
WT1 Wilms tumor 1	M60614_at
Retinoic acid receptor-beta associated open reading frame, complete sequence	M62303_at
GRIA1 Glutamate receptor, ionotropic, AMPA 1	M64752_at
IDUA Iduronidase, alpha-L-	M95740_at
TDGF1 Teratocarcinoma-derived growth factor 1	M96956_at
ARAF1 V-raf murine sarcoma 3611 viral oncogene homolog 1	U01337_at
MAP2 Microtubule-associated protein 2	U01828_at
Transcription factor LSF mRNA	U03494_at
Homolog of Drosophila enhancer of split m9/m10 mRNA	U04241_at
GARS Glycyl-tRNA synthetase	U09587_at
Receptor tyrosine kinase ligand LERK-3 (EPLG3) mRNA	U14187_at
TYRO3 Receptor protein-tyrosine kinase sky	U18934_at
Estrogen sulfotransferase mRNA	U20499_at
SAT Spermidine/spermine N1-acetyltransferase	U21689_at
Protein tyrosine phosphatase sigma mRNA	U35234_at
Dystrobrevin-alpha mRNA	U46744_at
Transcription factor E2F like protein [human, mRNA, 2492 nt]	U47677_at
CHRNA5 Cholinergic receptor, nicotinic, alpha polypeptide 5	U62434_at
TNF-alpha converting enzyme mRNA	U69611_at
H4 histone gene	X00038_at
PRL Prolactin	X00540_at
HARS Histidyl-tRNA synthetase	X05345_at
PRKCB1 Protein kinase C, beta 1	X06318_at
APOA1 Apolipoprotein A-I	X07496_at
APS Prostate specific antigen	X07730_at
RAB2 RAB2, member RAS oncogene family	X12953_at
GABRB1 Gamma-aminobutyric acid (GABA) A receptor, beta 1	X14767_at
RD Radin blood group	X16105_at
JUNB Jun B proto-oncogene	X51345_at
MYH7 Myosin, heavy polypeptide 7, cardiac muscle, beta	X52889_at
SCYA4 Small inducible cytokine A4 (homologous to mouse Mip-1b)	X53683_at
Glycerol kinase testis specific 1	X78711_at
R kappa B mRNA	X80878_at
CLTB Clathrin, light polypeptide (Lcb)	X81637_at
G-protein coupled receptor	X95876_at
GLUL Glutamate-ammonia ligase (glutamine synthase)	X96754_at
ZNF183 gene	X98253_at
Bone marrow serine protease gene (medullasin) (leukocyte neutrophil elastase gene)	Y00477_at
N-Oct 3, N-Oct5a, and N-Oct 5b proteins	Z11933_at
ALPHA-CENTRACTIN	Z14978_at
RED-SENSITIVE OPSIN	Z68193_at
DNA sequence from clone RP1-151B14 on chromosome 22 Contains SSTR3 (somatostatin receptor 3) gene, pseudogene similar to ribosomal protein L39, RAC2 (ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)) gene, ESTs, STSs, GSSs and CpG islands, complete sequence	Z86000_at
Immunoglobulin-related 14.1 protein mRNA	M27749_at
Immunoglobulin-related 14.1 protein mRNA	M27749_r_at
CYP2A6 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6	M33318_r_at
Omega light chain protein 14.1 (Ig lambda chain related) gene, exon 3	M34516_at
Omega light chain protein 14.1 (Ig lambda chain related) gene, exon 3	M34516_r_at
Cytochrome P450 (CYP2A13) gene	U22028_at
Cytochrome P450 (CYP2A13) gene	U22028_r_at
Endogenous retroviral H protease/integrase-derived ORF1 mRNA, and putative envelope protein mRNA, partial cds	U88898_at
Endogenous retroviral H protease/integrase-derived ORF1 mRNA, and putative envelope protein mRNA, partial cds	U88898_r_at
Metallothionein isoform 1R	X97261_at
Metallothionein isoform 1R	X97261_r_at
HLA-A MHC class I protein HLA-A (HLA-A28,-B40, -Cw3)	D32129_f_at
PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region)	D38437_f_at
PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region)	D38498_f_at
Transcription Factor Btf3b	HG1515-HT1515_f_at
Beta-1-Glycoprotein 1, Pregnancy-Specific (Gb:M25384)	HG2139-HT2208_f_at
Phosphoribosyl Pyrophosphate Synthetase, Subunit Iii	HG2255-HT2344_f_at
Major Histocompatibility Complex, Class I, E (Gb:M20022)	HG2915-HT3059_f_at
Major Histocompatibility Complex, Class I, E (Gb:M21533)	HG2917-HT3061_f_at
Luteinizing Hormone, Beta Subunit	HG3527-HT3721_f_at
Guanine Nucleotide-Binding Protein, Alpha Inhibiting Activity Polypeptide 2	HG3707-HT3922_f_at
Beta-1-Glycoprotein, Domains N And Iia, Pregnancy-Specific	HG4027-HT4297_f_at
Zinc Finger Protein Znf138	HG4236-HT4506_f_at
Proline-Rich Protein Prb4, Allele	HG4490-HT4876_f_at
Beta-1-Glycoprotein 1, Pregnancy-Specific (Gb:M20882)	HG458-HT458_f_at
Zinc Finger Protein (Gb:X61870)	HG67-HT67_f_at
Chorionic gonadotropin (hcg) beta subunit mRNA	J00117_f_at
Growth hormone (somatotropin, GH1) gene	J00148_cds2_f_at
IFNA10 Interferon, alpha 10	J00209_f_at
IFNA21 Interferon, alpha 21	J00212_f_at
Chorionic somatomammotropin CS-1 gene extracted from Human growth hormone (GH-1 and GH-2) and chorionic somatomammotropin (CS-1, CS-2 and CS-5) genes	J03071_cds3_f_at
HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DQ(1) BETA CHAIN PRECURSOR	K02405_f_at
Chorionic gonadotropin beta subunit gene	K03183_f_at
Chorionic gonadotropin (hcg) beta subunit mRNA	K03189_f_at
CYP2A6 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6	K03192_f_at
PRB1 locus salivary proline-rich protein mRNA, clone cP3	K03204_f_at
PRH1 Proline-rich protein HaeIII subfamily 1	K03207_f_at
Cytochrome P-450 4 gene	L00389_f_at
(clone Hu lambda-17) lambda-like gene	L02326_f_at
Small proline-rich protein 2 (SPRR2B) gene	L05188_f_at
MELANOMA-ASSOCIATED ANTIGEN 12	L18877_f_at
MELANOMA-ASSOCIATED ANTIGEN 2	L18920_f_at
KERATIN, TYPE II CYTOSKELETAL 6D	L42583_f_at
KERATIN, TYPE II CYTOSKELETAL 6D	L42601_f_at
KERATIN, TYPE II CYTOSKELETAL 6D	L42611_f_at
S26 from  Homo sapiens excision and cross link repair protein (ERCC4) gene, complete genomic sequence./ntype=DNA /annot=exon	L76568_xpt3_f_at
Small proline rich protein (sprII) mRNA, clone 930	M20030_f_at
PRSS1 Protease, serine, 1 (trypsin 1)	M22612_f_at
INTERFERON ALPHA-4 PRECURSOR	M27318_f_at
IFNA16 Interferon, alpha 16	M28585_f_at
CYP2A7 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 7	M33317_f_at
HLA-DRB1 Major histocompatibility complex, class II, DR beta 5	M33600_f_at
PSG7 Pregnancy-specific beta 1-glycoprotein 7	M37755_f_at
RIBOSE-PHOSPHATE PYROPHOSPHOKINASE III	M57423_f_at
Histone H2B.1 (H2B) gene	M60750_f_at
Antigen (MAGE-1) gene	M77481_rna1_f_at
BTF3 protein homologue gene	M90356_f_at
L-type calcium channel HFCC mRNA	M92269_f_at
MAGE-3 antigen (MAGE-3) gene	U03735_f_at
MAGE-5a antigen (MAGE5a) gene	U10689_f_at
MAGE-5a antigen (MAGE5a) gene	U10690_f_at
CYP2A7 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 7	U22029_f_at
Mariner2 transposable element, complete consensus sequence	U49974_f_at
Putative RNA binding protein (DAZH) mRNA	U65918_f_at
IFNA gene (interferon alpha-i) extracted from Human gene for leukocyte (alpha) interferon C	V00532_rna1_f_at
IFNA gene (interferon alpha-h2) extracted from Human gene for leukocyte (alpha) interferon H	V00533_rna1_f_at
IFNA14 Interferon, alpha 14	V00542_f_at
IFNA10 Interferon, alpha 10	V00551_f_at
KERATIN, TYPE II CYTOSKELETAL 6D	V01516_f_at
Histone H3 gene	X00090_f_at
CYTOCHROME P450 IIA6	X13930_f_at
SPRR2A gene encoding small proline rich protein	X53065_f_at
Metallothionein	X64177_f_at
Glutamate dehydrogenase	X67491_f_at
PRSS3 Protease, serine, 3 (trypsin 3)	X71345_f_at
Transmembrane protein Tmp21-IIex	X97444_f_at
H2B/h gene	Z80780_f_at
ACTB Actin, beta	X00351_f_at
GAPD Glyceraldehyde-3-phosphate dehydrogenase	X01677_f_at
CYTOCHROME P450 IA2	M31667_f_at
Nkat2b mRNA	L41268_f_at
Natural killer cell receptor (KIR) mRNA	X99479_f_at
Major Histocompatibility Complex, Class I, C (Gb:X58536)	HG658-HT658_f_at
HLA-A MHC class I protein HLA-A (HLA-A28,-B40, -Cw3)	M94880_f_at
PRB2 locus salivary proline-rich protein mRNA, clone cP7	S80905_f_at
HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DQ(W1.1) BETA CHAIN PRECURSOR	X03068_f_at
(HLCC85) mRNA for voltage-dependent L-type Ca channel alpha 1 subunit (splice variant)	Z34822_f_at
Endogenous retrovirus clone P1.8 polymerase mRNA, partial cds	U87593_f_at
Integrase gene extracted from Human endogenous retrovirus H clone g10.34 integrase and putative envelope protein genes, partial cds	U88902_cds1_f_at
WUGSC:GS345D13.2 gene (G-protein gamma-1 subunit) extracted from Human BAC clone GS345D13 from 7q31-q32	AC002076_cds2_at
TIAL1 TIA1 cytotoxic granule-associated RNA-binding protein-like 1	D64015_at
Ras-Specific Guanine Nucleotide-Releasing Factor	HG2510-HT2606_at
TYROSINE-PROTEIN KINASE ITK/TSK	L10717_at
(clone p4) 50 kD dystrophin-associated glycoprotein mRNA	L34355_at
Ifp35 gene extracted from Human BRCA1, Rho7 and vatI genes, and ipf35 gene, partial cds	L78833_cds4_at
INHA Inhibin, alpha	M13981_at
S100A9 S100 calcium-binding protein A9 (calgranulin B)	M21064_at
PLGL Plasminogen-like protein	M93143_at
ID1 Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	S78825_at
ABP1 Amiloride binding protein 1 (amine oxidase (copper-containing))	U11863_at
Transcriptional activator hSNF2b	U29175_at
Transcription factor Stat5b (stat5b) mRNA	U48730_at
Breast epithelial antigen BA46 mRNA	U58516_at
Calcium/calmodulin-dependent protein kinase II delta E mRNA, partial cds	U73738_at
TUBULIN ALPHA-4 CHAIN	X06956_at
CYP4B1 Cytochrome P450, subfamily IVB, polypeptide 1	X16699_at
PTGER3 Prostaglandin E receptor 3 (subtype EP3) {alternative products}	X83863_at
HMG2 High-mobility group (nonhistone chromosomal) protein 2	Z17240_at
RB1 Retinoblastoma 1 (including osteosarcoma)	L49218_f_at
Glycophorin Sta type A (HGpSta(A)) gene, exons 3 and 4 and partial cds	M71243_f_at
Z78285 Homo sapiens brain fetus Homo sapiens cDNA clone 1A7, mRNA sequence	Z78285_f_at
No info for gene	IL2_at
No info for gene	IL10_at
No description for gene: GMCSF_at	GMCSF_at
No description for gene: TNFRII_at	TNFRII_at
No info for gene	MIP1-B_at
No info for gene	IL4_at
No info for gene	IL12_P40_at
No description for gene: TNFa_at	TNFa_at
No description for gene: TCRa_at	TCRa_at
AFFX-BioB-5_at (miscellaneous control - 11k chips)	AFFX-BioB-5_at-2
AFFX-BioB-M_at (miscellaneous control - 11k chips)	AFFX-BioB-M_at-2
AFFX-BioB-3_at (miscellaneous control - 11k chips)	AFFX-BioB-3_at-2
AFFX-BioC-5_at (miscellaneous control - 11k chips)	AFFX-BioC-5_at-2
AFFX-BioC-3_at (miscellaneous control - 11k chips)	AFFX-BioC-3_at-2
AFFX-BioDn-5_at (miscellaneous control - 11k chips)	AFFX-BioDn-5_at-2
AFFX-BioDn-3_at (miscellaneous control - 11k chips)	AFFX-BioDn-3_at-2
AFFX-CreX-5_at (miscellaneous control - 11k chips)	AFFX-CreX-5_at-2
AFFX-CreX-3_at (miscellaneous control - 11k chips)	AFFX-CreX-3_at-2
AFFX-BioB-5_st (miscellaneous control - 11k chips)	AFFX-BioB-5_st-2
AFFX-BioB-M_st (miscellaneous control - 11k chips)	AFFX-BioB-M_st-2
AFFX-BioB-3_st (miscellaneous control - 11k chips)	AFFX-BioB-3_st-2
AFFX-BioC-5_st (miscellaneous control - 11k chips)	AFFX-BioC-5_st-2
AFFX-BioC-3_st (miscellaneous control - 11k chips)	AFFX-BioC-3_st-2
AFFX-BioDn-5_st (miscellaneous control - 11k chips)	AFFX-BioDn-5_st-2
AFFX-BioDn-3_st (miscellaneous control - 11k chips)	AFFX-BioDn-3_st-2
AFFX-CreX-5_st (miscellaneous control - 11k chips)	AFFX-CreX-5_st-2
AFFX-CreX-3_st (miscellaneous control - 11k chips)	AFFX-CreX-3_st-2
No description for gene: IKAROS_at	IKAROS_at
No description for gene: hum_alu_at	hum_alu_at-2
No info for gene	YEL024w/RIP1_at
AFFX-DapX-5_at (miscellaneous control - 11k chips)	AFFX-DapX-5_at-2
AFFX-DapX-M_at (miscellaneous control - 11k chips)	AFFX-DapX-M_at-2
AFFX-DapX-3_at (miscellaneous control - 11k chips)	AFFX-DapX-3_at-2
AFFX-LysX-5_at (miscellaneous control - 11k chips)	AFFX-LysX-5_at-2
AFFX-LysX-M_at (miscellaneous control - 11k chips)	AFFX-LysX-M_at-2
AFFX-LysX-3_at (miscellaneous control - 11k chips)	AFFX-LysX-3_at-2
AFFX-PheX-5_at (miscellaneous control - 11k chips)	AFFX-PheX-5_at-2
AFFX-PheX-M_at (miscellaneous control - 11k chips)	AFFX-PheX-M_at-2
AFFX-PheX-3_at (miscellaneous control - 11k chips)	AFFX-PheX-3_at-2
AFFX-ThrX-5_at (miscellaneous control - 11k chips)	AFFX-ThrX-5_at-2
AFFX-ThrX-M_at (miscellaneous control - 11k chips)	AFFX-ThrX-M_at-2
AFFX-ThrX-3_at (miscellaneous control - 11k chips)	AFFX-ThrX-3_at-2
AFFX-TrpnX-5_at (miscellaneous control - 11k chips)	AFFX-TrpnX-5_at-2
AFFX-TrpnX-M_at (miscellaneous control - 11k chips)	AFFX-TrpnX-M_at-2
AFFX-TrpnX-3_at (miscellaneous control - 11k chips)	AFFX-TrpnX-3_at-2
No info for gene	AFFX-HUMISGF3A/M97935_5_at-2
No info for gene	AFFX-HUMISGF3A/M97935_MA_at-2
No info for gene	AFFX-HUMISGF3A/M97935_MB_at-2
No info for gene	AFFX-HUMISGF3A/M97935_3_at-2
Human 18S rRNA gene, complete. (from Genbank)	AFFX-HUMRGE/M10098_5_at-2
Human 18S rRNA gene, complete. (from Genbank)	AFFX-HUMRGE/M10098_M_at-2
Human 18S rRNA gene, complete. (from Genbank)	AFFX-HUMRGE/M10098_3_at-2
Glyceraldehyde-3-phosphate dehydrogenase	AFFX-HUMGAPDH/M33197_5_at-2
Glyceraldehyde-3-phosphate dehydrogenase	AFFX-HUMGAPDH/M33197_M_at-2
Glyceraldehyde-3-phosphate dehydrogenase	AFFX-HUMGAPDH/M33197_3_at-2
No info for gene	AFFX-HSAC07/X00351_5_at-2
No info for gene	AFFX-HSAC07/X00351_M_at-2
No info for gene	AFFX-HSAC07/X00351_3_at-2
Transferrin receptor (p90, CD71)	AFFX-HUMTFRR/M11507_5_at-2
Transferrin receptor (p90, CD71)	AFFX-HUMTFRR/M11507_M_at-2
Transferrin receptor (p90, CD71)	AFFX-HUMTFRR/M11507_3_at-2
Human 28S ribosomal RNA gene, complete cds. (from Genbank)	AFFX-M27830_5_at-2
Human 28S ribosomal RNA gene, complete cds. (from Genbank)	AFFX-M27830_M_at-2
Human 28S ribosomal RNA gene, complete cds. (from Genbank)	AFFX-M27830_3_at-2
No info for gene	AFFX-HSAC07/X00351_3_st-2
Glyceraldehyde-3-phosphate dehydrogenase	AFFX-HUMGAPDH/M33197_5_st-2
Glyceraldehyde-3-phosphate dehydrogenase	AFFX-HUMGAPDH/M33197_M_st-2
Glyceraldehyde-3-phosphate dehydrogenase	AFFX-HUMGAPDH/M33197_3_st-2
No info for gene	AFFX-HSAC07/X00351_5_st-2
No info for gene	AFFX-HSAC07/X00351_M_st-2
No description for gene: FAS_at	FAS_at
No description for gene: P-Select_at	P-Select_at
No info for gene	YEL002c/WBP1_at
No info for gene	YEL003w/_at
No info for gene	YEL018w/_at
No info for gene	YEL019c/MMS21_at
No info for gene	YEL021w/URA3_at
EST: ze46h10.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362083 5', mRNA sequence. (from Genbank)	AA000993_at
EST: zh82b09.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 427769 5', mRNA sequence. (from Genbank)	AA001296_s_at
KIAA0663 gene product	AA002245_at
EST: zh92a03.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 428716 5', mRNA sequence. (from Genbank)	AA004231_at
EST: zh91a01.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 428616 5', mRNA sequence. (from Genbank)	AA004333_at
Homo sapiens HRIHFB2017 mRNA, partial cds	AA004987_at
Zh95d06.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 429035 5', mRNA sequence. (from Genbank)	AA005190_at
EST: zh97e06.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 429250 5', mRNA sequence. (from Genbank)	AA007264_at
EST: zh97b10.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 429211 5', mRNA sequence. (from Genbank)	AA007282_at
Homo sapiens DNA sequence from Fosmid 27C3 on chromosome 22q11.2-qter. Contains two possibly alternatively spliced unknown genes, one with homology to a worm protein. Contains ESTs	AA007583_at
EST: ze82e10.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 365514 5', mRNA sequence. (from Genbank)	AA009602_at
EST: ze82b02.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 365451 5', mRNA sequence. (from Genbank)	AA009826_at
Diptheria toxin resistance protein required for diphthamide biosynthesis (Saccharomyces)-like 2	AA009913_at
Zi09c03.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 430276 5', mRNA sequence. (from Genbank)	AA010324_at
EST: ze19a12.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 359422 5', mRNA sequence. (from Genbank)	AA010686_at
EST: ze22c01.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 359712 5', mRNA sequence. (from Genbank)	AA010750_at
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	AA010762_at
EST: ze23a09.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 359800 5', mRNA sequence. (from Genbank)	AA010933_s_at
EST: ze19d03.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 359429 5', mRNA sequence. (from Genbank)	AA011243_s_at
EST: zi01e06.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 429538 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA011452_at
EST: zi01b10.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 429499 5', mRNA sequence. (from Genbank)	AA011479_at
Ze34d10.r1 Soares retina N2b4HR Homo sapiens cDNA clone 360883 5', mRNA sequence. (from Genbank)	AA012864_at
EST: ze27f07.r1 Soares retina N2b4HR Homo sapiens cDNA clone 360229 5', mRNA sequence. (from Genbank)	AA012885_at
EST: ze35d03.r1 Soares retina N2b4HR Homo sapiens cDNA clone 360965 5', mRNA sequence. (from Genbank)	AA013042_at
EST: ze32f10.r1 Soares retina N2b4HR Homo sapiens cDNA clone 360715 5', mRNA sequence. (from Genbank)	AA016186_at
EST: ze33c05.r1 Soares retina N2b4HR Homo sapiens cDNA clone 360776 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA016987_at
EST: ze52b01.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362569 5', mRNA sequence. (from Genbank)	AA017283_at
EST: ze38f11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 361293 5', mRNA sequence. (from Genbank)	AA017469_at
EST: ze40c05.r1 Soares retina N2b4HR Homo sapiens cDNA clone 361448 5', mRNA sequence. (from Genbank)	AA018298_at
EST: ze50a02.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362378 5', mRNA sequence. (from Genbank)	AA018418_at
EST: ze50e02.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362426 5', mRNA sequence. (from Genbank)	AA018509_at
Homo sapiens zinc finger protein (ZF5128) mRNA, complete cds	AA018541_at
EST: ze51d12.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362519 5', mRNA sequence. (from Genbank)	AA018758_at
Homo sapiens clone 23675 mRNA sequence	AA018804_at
EST: ze57h12.r1 Soares retina N2b4HR Homo sapiens cDNA clone 363143 5', mRNA sequence. (from Genbank)	AA018847_at
EST: ze55a07.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362868 5', mRNA sequence. (from Genbank)	AA018852_at
EST: ze55f04.r1 Soares retina N2b4HR Homo sapiens cDNA clone 362911 5', mRNA sequence. (from Genbank)	AA018887_at
KIAA0331 gene product	AA019359_at
EST: ze57c01.r1 Soares retina N2b4HR Homo sapiens cDNA clone 363072 5', mRNA sequence. (from Genbank)	AA019475_at
EST: ze63a07.r1 Soares retina N2b4HR Homo sapiens cDNA clone 363636 5' similar to WP:C05D11.7 CE01137 ;, mRNA sequence. (from Genbank)	AA019943_at
EST: ze64e11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 363788 5' similar to contains L1.t2 L1 repetitive element ;, mRNA sequence. (from Genbank)	AA020927_at
EST: ze64c11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 363764 5', mRNA sequence. (from Genbank)	AA020941_at
EST: ze67f10.r1 Soares retina N2b4HR Homo sapiens cDNA clone 364075 5' similar to contains Alu repetitive element;contains element L1 repetitive element ;, mRNA sequence. (from Genbank)	AA021124_at
EST: ze70g08.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364382 5', mRNA sequence. (from Genbank)	AA022453_at
EST: ze72g05.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364568 5', mRNA sequence. (from Genbank)	AA022985_at
EST: ze73e12.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364654 5', mRNA sequence. (from Genbank)	AA024428_at
EST: ze79a04.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 365166 5', mRNA sequence. (from Genbank)	AA024641_at
EST: ze79f03.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 365213 5', mRNA sequence. (from Genbank)	AA024727_s_at
EST: ze76b01.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364873 5', mRNA sequence. (from Genbank)	AA025333_at
EST: HPLA_CCLEE_24b9u HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA027757_at
EST: HPLA_CCLEE_40f6ar HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA027760_at
EST: HPLA_CCLEE_65h7r HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA027765_at
EST: HPLA_CCLEE_69a10u HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA027766_at
EST: HPLA_CCLEE_15b2r HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA027793_at
EST: HPLA_CCLEE_17d6r HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA027795_at
EST: ze75h09.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364865 5' similar to contains element MER35 repetitive element ;, mRNA sequence. (from Genbank)	AA028171_at
Dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	AA028195_at
EST: zk11a03.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 470188 5', mRNA sequence. (from Genbank)	AA028976_at
EST: zk08g04.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 469974 5', mRNA sequence. (from Genbank)	AA030042_at
Cell division cycle 42 (GTP-binding protein, 25kD)	AA031548_at
Homo sapiens HRIHFB2115 mRNA, partial cds	AA031993_at
EST: zk15c03.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 470596 5', mRNA sequence. (from Genbank)	AA032048_at
Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	AA032263_at
EST: zf01h04.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 375703 5', mRNA sequence. (from Genbank)	AA032291_at
EST: HPLA_CCLEE_40f6br HPLA CCLee Homo sapiens cDNA, mRNA sequence. (from Genbank)	AA033508_s_at
Homo sapiens Chromosome 16 BAC clone CIT987SK-A-69G12	AA033543_at
EST: zk19c01.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 470976 5', mRNA sequence. (from Genbank)	AA033659_at
EST: zf01d10.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 375667 5', mRNA sequence. (from Genbank)	AA033703_at
EST: zk19b12.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 470975 5', mRNA sequence. (from Genbank)	AA033766_s_at
EST: zi06a07.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 429972 5', mRNA sequence. (from Genbank)	AA033857_at
EST: zi06c10.r1 Soares fetal liver spleen 1NFLS S1 Homo sapiens cDNA clone 430002 5', mRNA sequence. (from Genbank)	AA034011_at
EST: ze75a02.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364778 5', mRNA sequence. (from Genbank)	AA034410_at
EST: ze75f03.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 364829 5', mRNA sequence. (from Genbank)	AA034438_at
EST: zk27b12.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 471743 5' similar to SW:PCM1_YEAST P38628 PHOSPHOACETYLGLUCOSAMINE MUTASE ;, mRNA sequence. (from Genbank)	AA035158_at
Calpastatin	AA036753_at
EST: zk29a01.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 471912 5' similar to WP:T20B12.3 CE01409 ;, mRNA sequence. (from Genbank)	AA036794_at
EST: zk32h09.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 484577 5' similar to SW:RL39_RAT P02404 60S RIBOSOMAL PROTEIN L39. [2] PIR:R6RT39 ;, mRNA sequence. (from Genbank)	AA036809_at
EST: zk29e11.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 471980 5', mRNA sequence. (from Genbank)	AA036900_at
Dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	AA037192_at
Homo sapiens TRIAD1 type I mRNA, complete cds	AA037199_at
EST: zc51f11.r1 Soares senescent fibroblasts NbHSF Homo sapiens cDNA clone 325869 5', mRNA sequence. (from Genbank)	AA037206_at
Heterogeneous nuclear ribonucleoprotein D-like	AA037285_at
EST: zc52h08.r1 Soares senescent fibroblasts NbHSF Homo sapiens cDNA clone 325983 5', mRNA sequence. (from Genbank)	AA037316_at
EST: zf10a09.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 376504 5', mRNA sequence. (from Genbank)	AA039762_at
EST: zf10e10.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 376554 5', mRNA sequence. (from Genbank)	AA039789_at
Msh (Drosophila) homeo box homolog 1 (formerly homeo box 7)	AA039806_at
EST: zk45b07.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 485749 5', mRNA sequence. (from Genbank)	AA039996_at
Homo sapiens KIAA0431 mRNA, partial cds	AA040512_at
SYNAPTOTAGMIN I	AA040628_at
Homo sapiens putative 13 S Golgi transport complex 90kD subunit brain-specific isoform mRNA, complete cds	AA040839_at
EST: zf07b02.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 376203 5' similar to SW:NIAM_BOVIN Q02372 NADH-UBIQUINONE OXIDOREDUCTASE ASHI SUBUNIT PRECURSOR ;, mRNA sequence. (from Genbank)	AA041208_at
