year,age,maritl,race,education,region,jobclass,health,health_ins,salario_alto
2008,44,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,57,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2006,49,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,41,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,38,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,58,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2004,59,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2005,39,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,60,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2007,56,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2008,44,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,70,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,27,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,47,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,Si
2003,41,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2008,29,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,42,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,51,Divorced,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2009,47,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,48,Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,23,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,31,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,59,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,19,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,42,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,35,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,38,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2006,45,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,58,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2006,26,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,30,Never Married,Asian,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2006,54,Separated,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,44,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,52,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,73,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,65,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2003,28,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,No
2009,53,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,53,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,52,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,27,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,57,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,32,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,51,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2008,43,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,50,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,53,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,54,Married,Asian,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,40,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,30,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,45,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,55,Divorced,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,45,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,44,Never Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,37,Widowed,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,41,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2007,44,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,52,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,55,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,43,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,27,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,43,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,46,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,30,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2003,43,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,48,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,33,Never Married,Black,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,29,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,24,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,52,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,50,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,42,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,53,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,49,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,46,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2008,40,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,41,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,41,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,36,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2003,34,Married,Black,Some College,Middle Atlantic,Information,<=Good,No,No
2004,24,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2008,44,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,33,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,40,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2007,48,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,56,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,25,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,44,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,27,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,58,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,52,Divorced,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,60,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,No
2008,39,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2004,51,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,31,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,45,Widowed,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,43,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,45,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,40,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,51,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,47,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,52,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,31,Divorced,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,40,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,26,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,38,Divorced,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2005,50,Married,Other,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2006,63,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,35,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,29,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,Si
2008,33,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2007,29,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,62,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,45,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,56,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,58,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,39,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,49,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,24,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,61,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,58,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,47,Married,Asian,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2004,41,Separated,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,71,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2006,47,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,38,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,31,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,56,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,44,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,33,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,36,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,31,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,55,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,48,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2005,50,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2006,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2008,25,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,55,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2004,28,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,30,Married,Other,< HS Grad,Middle Atlantic,Information,<=Good,No,Si
2008,46,Never Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,48,Divorced,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2006,42,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,23,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,60,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2008,34,Married,Black,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,45,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,28,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2004,33,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,58,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,47,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,24,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2008,56,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2004,56,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,23,Never Married,Other,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,56,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2003,45,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,58,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,30,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,46,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2004,48,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,50,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,43,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,37,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,49,Divorced,White,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2009,31,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,54,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,52,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,70,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,30,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,44,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,34,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,28,Separated,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,38,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2008,52,Never Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2004,34,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,33,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,45,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,58,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,63,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,38,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2007,31,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2007,53,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,21,Never Married,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2006,38,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,18,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,28,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,33,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,32,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2009,29,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,28,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,42,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,28,Widowed,White,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2009,36,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,47,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,53,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,48,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,36,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,55,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,37,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,68,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2003,65,Married,Other,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,37,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,33,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,19,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,50,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,22,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2004,40,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,45,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2009,36,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,37,Married,Asian,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,66,Married,Black,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,35,Married,Asian,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,33,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,44,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2004,48,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,47,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,41,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,55,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,74,Divorced,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2007,33,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,62,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2004,56,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,29,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2009,56,Never Married,Black,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2009,47,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,45,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,44,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,25,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,45,Divorced,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2005,40,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,56,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2005,56,Married,Asian,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,47,Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,39,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,38,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,48,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,44,Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,42,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2009,55,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,61,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2006,39,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,30,Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2009,49,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,33,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,31,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,35,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,55,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,36,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2006,33,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,48,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2004,47,Married,Asian,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,60,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2004,28,Never Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,28,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,48,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,29,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2004,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,32,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2004,33,Divorced,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,40,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,42,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,36,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2004,39,Married,Black,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,44,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,43,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2008,44,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,29,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2007,49,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2007,47,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,46,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,41,Divorced,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,52,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2003,43,Divorced,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,38,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,42,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,56,Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,29,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,33,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,33,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,41,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,44,Never Married,Black,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,45,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,58,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,29,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,42,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,68,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,47,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2005,30,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2005,39,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2008,42,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,49,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,36,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,44,Married,Asian,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,54,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,42,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,39,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,30,Married,Asian,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,33,Never Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,28,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,30,Married,Other,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,25,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,52,Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,26,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,54,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,62,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,57,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2003,32,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,60,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,40,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,54,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,48,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,35,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,46,Divorced,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2007,42,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,58,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,30,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
